Players,Team,Type,Base,Sold
Phil Salt,RCB,BAT,2.00,11.50
Jitesh Sharma,RCB,BAT,1.00,11.00
Khaleel Ahmed,CSK,BOWL,2.00,4.80
Trent Boult,MI,BOWL,2.00,12.50
Josh Hazlewood,RCB,BOWL,2.00,12.50
Avesh Khan,LSG,BOWL,2.00,9.75
Prasidh Krishna,GT,BOWL,2.00,9.50
T Natarajan,DC,BOWL,2.00,10.75
Anrich Nortje,KKR,BOWL,2.00,6.50
Noor Ahmad,CSK,BOWL,2.00,10.00
Rahul Chahar,SRH,BOWL,1.00,3.20
Wanindu Hasaranga,RR,BOWL,2.00,5.25
Waqar Salamkheil,-,BOWL,0.75,Unsold
Maheesh Theekshana,RR,BOWL,2.00,4.40
Adam Zampa,SRH,BOWL,2.00,2.40
Yash Dhull,-,BAT,0.30,Unsold
Abhinav Manohar,SRH,BAT,0.30,3.20
Karun Nair,DC,BAT,0.30,0.50
Angkrish Raghuvanshi,KKR,BAT,0.30,3.00
Anmolpreet Singh,-,BAT,0.30,Unsold
Atharva Taide,SRH,BAT,0.30,0.30
Nehal Wadhera,PBKS,BAT,0.30,4.20
Harpreet Brar,PBKS,AR,0.30,1.50
Naman Dhir,MI,AR,0.30,5.25
Mahipal Lomror,GT,AR,0.50,1.70
Sameer Rizvi,DC,AR,0.30,0.95
Abdul Samad,LSG,AR,0.30,4.20
Vijay Shankar,CSK,AR,0.30,1.20
Ashutosh Sharma,DC,AR,0.30,3.80
Nishant Sindhu,GT,AR,0.30,0.30
Utkarsh Singh,-,AR,0.30,Unsold
Aryan Juyal,LSG,BAT,0.30,0.30
Kumar Kushagra,GT,BAT,0.30,0.65
Robin Minz,MI,BAT,0.30,0.65
Anuj Rawat,GT,BAT,0.30,0.30
Luvnith Sisodia,KKR,BAT,0.30,0.30
Vishnu Vinod,PBKS,BAT,0.30,0.95
Upendra Yadav,-,BAT,0.30,Unsold
Vaibhav Arora,KKR,BOWL,0.30,1.80
Rasikh Salam,RCB,BOWL,0.30,6.00
Akash Madhwal,RR,BOWL,0.30,1.20
Mohit Sharma,DC,BOWL,0.50,2.20
Simarjeet Singh,SRH,BOWL,0.30,1.50
Yash Thakur,PBKS,BOWL,0.40,1.60
Kartik Tyagi,-,BOWL,0.30,Unsold
Vijaykumar Vyshak,PBKS,BOWL,0.30,1.80
Piyush Chawla,-,BOWL,0.50,Unsold
Shreyas Gopal,CSK,BOWL,0.30,0.30
Mayank Markande,KKR,BOWL,0.30,0.30
Suyash Sharma,RCB,BOWL,0.30,2.60
Karn Sharma,MI,BOWL,0.50,0.50
Kumar Kartikeya,RR,BOWL,0.30,0.30
Manav Suthar,GT,BOWL,0.30,0.30
Mayank Agarawal,-,BAT,1.00,Unsold
Faf du Plessis,DC,BAT,2.00,2.00
Glenn Phillips,GT,BAT,2.00,2.00
Rovman Powell,KKR,BAT,1.50,1.50
Ajinkya Rahane,KKR,BAT,1.50,1.50
Prithvi Shaw,-,BAT,0.75,Unsold
Kane Williamson,-,BAT,2.00,Unsold
Sam Curran,CSK,AR,2.00,2.40
Marco Jansen,PBKS,AR,1.25,7.00
Daryl Mitchell,-,AR,2.00,Unsold
Krunal Pandya,RCB,AR,2.00,5.75
Nitish Rana,RR,AR,1.50,4.20
Washington Sundar,GT,AR,2.00,3.20
Shardul Thakur,-,AR,2.00,Unsold
Srikar Bharat,-,BAT,0.75,Unsold
Alex Carey,-,BAT,1.00,Unsold
Donovan Ferreira,DC,BAT,0.75,0.75
Shai Hope,-,BAT,1.25,Unsold
Josh Inglis,PBKS,BAT,2.00,2.60
Ryan Rickelton,MI,BAT,1.00,1.00
Deepak Chahar,MI,BOWL,2.00,9.25
Gerald Coetzee,GT,BOWL,1.25,2.40
Akash Deep,LSG,BOWL,1.00,8.00
Tushar Deshpande,RR,BOWL,1.00,6.50
Lockie Ferguson,PBKS,BOWL,2.00,2.00
Bhuvneshwar Kumar,RCB,BOWL,2.00,10.75
Mukesh Kumar,DC,BOWL,2.00,8.00
AM Ghazanfar,MI,BOWL,0.75,4.80
Akeal Hosein,-,BOWL,1.50,Unsold
Keshav Maharaj,-,BOWL,0.75,Unsold
Mujeeb Ur Rahman,-,BOWL,2.00,Unsold
Adil Rashid,-,BOWL,2.00,Unsold
Vijayakanth Viyaskanth,-,BOWL,0.75,Unsold
Ricky Bhui,-,BAT,0.30,TBA
Swastik Chikara,RCB,BAT,0.30,0.30
Aarya Desai,-,BAT,0.30,TBA
Shubham Dubey,RR,BAT,0.30,0.80
Madhav Kaushik,-,BAT,0.30,Unsold
Pukhraj Mann,-,BAT,0.30,Unsold
Shaik Rasheed,CSK,BAT,0.30,0.30
Himmat Singh,LSG,BAT,0.30,0.30
Mayank Dagar,-,AR,0.30,Unsold
Anshul Kamboj,CSK,AR,0.30,3.40
Arshad Khan,GT,AR,0.30,1.30
Darshan Nalkande,DC,AR,0.30,0.30
Suyash Prabhudessai,-,AR,0.30,TBA
Anukul Roy,KKR,AR,0.30,0.40
Swapnil Singh,RCB,AR,0.30,0.50
Sanvir Singh,-,AR,0.30,TBA
Aravelly Avanish,-,BAT,0.30,Unsold
Vansh Bedi,CSK,BAT,0.30,0.55
Saurav Chauhan,-,BAT,0.30,TBA
Harvik Desai,-,BAT,0.30,Unsold
Tom Kohler-Cadmore,-,BAT,0.50,TBA
Kunal Singh Rathore,RR,BAT,0.30,0.30
BR Sharath,-,BAT,0.30,TBA
Gurnoor Brar,GT,BOWL,0.30,1.30
Mukesh Choudhary,CSK,BOWL,0.30,0.30
Sakib Hussain,-,BOWL,0.30,Unsold
Vidwath Kaverappa,-,BOWL,0.30,Unsold
Rajan Kumar,-,BOWL,0.30,Unsold
Sushant Mishra,-,BOWL,0.30,TBA
Arjun Tendulkar,MI,BOWL,0.30,0.30
Zeeshan Ansari,SRH,BOWL,0.30,0.40
Prince Choudhary,-,BOWL,0.30,Unsold
Himanshu Sharma,-,BOWL,0.30,TBA
Manimaran Siddharth,LSG,BOWL,0.30,0.75
Digvesh Singh,LSG,BOWL,0.30,0.30
Prashant Solanki,-,BOWL,0.30,Unsold
Jhathavedh Subramanyan,-,BOWL,0.30,Unsold
Finn Allen,-,BAT,2.00,Unsold
Dewald Brevis,-,BAT,0.75,Unsold
Ben Duckett,-,BAT,2.00,Unsold
Manish Pandey,KKR,BAT,0.75,0.75
Rilee Rossouw,-,BAT,2.00,TBA
Sherfane Rutherford,GT,BAT,1.50,2.60
Ashton Turner,-,BAT,1.00,TBA
James Vince,-,BAT,2.00,TBA
Shahbaz Ahmed,LSG,AR,1.00,2.40
Moeen Ali,KKR,AR,2.00,2.00
Tim David,RCB,AR,2.00,3.00
Deepak Hooda,CSK,AR,0.75,1.70
Will Jacks,MI,AR,2.00,5.25
Azmatullah Omarzai,PBKS,AR,1.50,2.40
Sai Kishore,GT,AR,0.75,2.00
Romario Shepherd,RCB,AR,1.50,1.50
Tom Banton,-,BAT,2.00,TBA
Sam Billings,-,BAT,1.50,TBA
Jordan Cox,-,BAT,1.25,TBA
Ben McDermott,-,BAT,0.75,TBA
Kusal Mendis,-,BAT,0.75,TBA
Kusal Perera,-,BAT,0.75,TBA
Josh Philippe,-,BAT,0.75,Unsold
Tim Seifert,-,BAT,1.25,TBA
Nandre Burger,-,BOWL,1.25,TBA
Spencer Johnson,KKR,BOWL,2.00,2.80
Umran Malik,KKR,BOWL,0.75,0.75
Mustafizur Rahman,-,BOWL,2.00,Unsold
Ishant Sharma,GT,BOWL,0.75,0.75
Nuwan Thushara,RCB,BOWL,0.75,1.60
Naveen-ul-Haq,-,BOWL,2.00,Unsold
Jaydev Unadkat,SRH,BOWL,1.00,1.00
Umesh Yadav,-,BOWL,2.00,Unsold
Rishad Hossain,-,BOWL,0.75,Unsold
Zahir Khan,-,BOWL,0.75,TBA
Nqabayomzi Peter,-,BOWL,0.75,TBA
Tanveer Sangha,-,BOWL,0.75,TBA
Tabraiz Shamsi,-,BOWL,2.00,TBA
Jeffrey Vandersay,-,BOWL,0.75,TBA
Sachin Baby,SRH,BAT,0.30,0.30
Priyam Garg,-,BAT,0.30,TBA
Harnoor Singh,PBKS,BAT,0.30,0.30
R Smaran,-,BAT,0.30,TBA
Shashwat Rawat,-,BAT,0.30,TBA
C Andre Siddarth,CSK,BAT,0.30,0.30
Avneesh Sudha,-,BAT,0.30,TBA
Apoorv Wankhade,-,BAT,0.30,TBA
Yudhvir Singh,RR,AR,0.30,0.35
Rishi Dhawan,-,AR,0.30,Unsold
Rajvardhan Hangargekar,LSG,AR,0.30,0.30
Tanush Kotian,-,AR,0.30,Unsold
Arshin Kulkarni,LSG,AR,0.30,0.30
Shams Mulani,-,AR,0.30,TBA
Shivam Singh,-,AR,0.30,Unsold
Lalit Yadav,-,AR,0.30,TBA
Mohammed Azharuddeen,-,BAT,0.30,TBA
LR Chethan,-,BAT,0.30,Unsold
Aryaman Singh,-,BAT,0.30,TBA
Urvil Patel,-,BAT,0.30,TBA
Sanskar Rawat,-,BAT,0.30,TBA
Bipin Saurabh,-,BAT,0.30,TBA
Tanay Thyagarajan,-,BAT,0.30,TBA
Money Grewal,-,BOWL,0.30,TBA
Ashwani Kumar,MI,BOWL,0.30,0.30
Ishan Porel,-,BOWL,0.30,TBA
Abhilash Shetty,-,BOWL,0.30,TBA
Akash Singh,LSG,BOWL,0.30,0.30
Gurjapneet Singh,CSK,BOWL,0.30,2.20
Basil Thampi,-,BOWL,0.30,TBA
Murugan Ashwin,-,BOWL,0.30,Unsold
Shreyas Chavan,-,BOWL,0.30,TBA
Chintal Gandhi,-,BOWL,0.30,TBA
Raghav Goyal,-,BOWL,0.30,Unsold
Jagadeesha Suchith,-,BOWL,0.30,TBA
Roshan Waghsare,-,BOWL,0.30,TBA
Bailapudi Yeswanth,-,BOWL,0.30,Unsold
Sediqullah Atal,-,BAT,0.75,TBA
Matthew Breetzke,LSG,BAT,0.75,0.75
Mark Chapman,-,BAT,1.50,TBA
Brandon King,-,BAT,0.75,Unsold
Evin Lewis,-,BAT,2.00,TBA
Pathum Nissanka,-,BAT,0.75,Unsold
Bhanuka Rajapaksa,-,BAT,0.75,TBA
Steven Smith,-,BAT,2.00,Unsold
Gus Atkinson,-,AR,2.00,Unsold
Tom Curran,-,AR,2.00,TBA
Krishnappa Gowtham,-,AR,1.00,TBA
Mohammad Nabi,-,AR,1.50,TBA
Gulbadin Naib,-,AR,1.00,TBA
Sikandar Raza,-,AR,1.25,Unsold
Mitchell Santner,MI,AR,2.00,2.00
Jayant Yadav,GT,AR,0.75,0.75
Johnson Charles,-,BAT,0.75,TBA
Litton Das,-,BAT,0.75,TBA
Andre Fletcher,-,BAT,0.75,TBA
Tom Latham,-,BAT,1.50,Unsold
Ollie Pope,-,BAT,0.75,TBA
Kyle Verreynne,-,BAT,0.75,TBA
Fazalhaq Farooqi,RR,BOWL,2.00,2.00
Richard Gleeson,-,BOWL,0.75,Unsold
Matt Henry,-,BOWL,2.00,TBA
Alzarri Joseph,-,BOWL,2.00,Unsold
Kwena Maphaka,RR,BOWL,0.75,1.50
Kuldeep Sen,PBKS,BOWL,0.75,0.80
Reece Topley,MI,BOWL,0.75,0.75
Lizaad Williams,MI,BOWL,0.75,0.75
Luke Wood,-,BOWL,0.75,Unsold
Sachin Dhas,-,BAT,0.30,Unsold
Leus du Plooy,-,BAT,0.50,Unsold
Ashwin Hebbar,-,BAT,0.30,TBA
Rohan  Kunnummal,-,BAT,0.30,TBA
Ayush Pandey,-,BAT,0.30,TBA
Akshat Raghuwanshi,-,BAT,0.30,TBA
Shoun Roger,-,BAT,0.40,TBA
Virat Singh,-,BAT,0.30,TBA
Priyansh Arya,PBKS,AR,0.30,3.80
Manoj Bhandage,RCB,AR,0.30,0.30
Praveen Dubey,PBKS,AR,0.30,0.30
Ajay Mandal,DC,AR,0.30,0.30
Prerak Mankad,-,AR,0.30,TBA
Vipraj Nigam,DC,AR,0.30,0.50
Vicky Ostwal,-,AR,0.30,TBA
Shivalik Sharma,-,AR,0.30,Unsold
Salil Arora,-,BAT,0.30,TBA
Dinesh Bana,-,BAT,0.30,TBA
Guruswamy Ajitesh,-,BAT,0.30,TBA
Narayan Jagadeesan,-,BAT,0.30,TBA
Krishnan Shrijith,MI,BAT,0.30,0.30
Michael Pepper,-,BAT,0.50,TBA
Vishnu Solanki,-,BAT,0.30,TBA
KM Asif,-,BOWL,0.30,TBA
Akhil Chaudhary,-,BOWL,0.30,TBA
Himanshu Chauhan,-,BOWL,0.30,TBA
Arpit Guleria,-,BOWL,0.30,Unsold
Saranu Nishanth,-,BOWL,0.30,TBA
Kuldip Yadav,-,BOWL,0.30,TBA
Prithvi Raj,-,BOWL,0.30,TBA
Shubham Agarwal,-,BOWL,0.30,TBA
Jasinder Singh,-,BOWL,0.30,TBA
Jasmer Dhankhar,-,BOWL,0.30,TBA
Pulkit Narang,-,BOWL,0.30,TBA
Saumy Pandey,-,BOWL,0.30,TBA
Mohit Rathee,RCB,BOWL,0.30,0.30
Himanshu Singh,-,BOWL,0.30,TBA
Towhid Hridoy,-,BAT,0.75,TBA
Mikyle Louis,-,BAT,0.75,TBA
Harry Tector,-,BAT,0.75,TBA
Rassie van der Dussen,-,BAT,2.00,TBA
Will Young,-,BAT,1.25,TBA
Najibullah Zadran,-,BAT,0.75,TBA
Ibrahim Zadran,-,BAT,0.75,TBA
Sean Abbott,-,AR,2.00,TBA
Jacob Bethell,RCB,AR,1.25,2.60
Brydon Carse,SRH,AR,1.00,1.00
Aaron Hardie,PBKS,AR,1.25,1.25
Sarfaraz Khan,-,AR,0.75,Unsold
Kyle Mayers,-,AR,1.50,Unsold
Kamindu Mendis,SRH,AR,0.75,0.75
Matthew Short,-,AR,0.75,Unsold
Jason Behrendorff,-,BOWL,1.50,Unsold
Dushmantha Chameera,DC,BOWL,0.75,0.75
Nathan Ellis,CSK,BOWL,1.25,2.00
Shamar Joseph,LSG,BOWL,0.75,0.75
Josh Little,-,BOWL,0.75,TBA
Shivam Mavi,-,BOWL,0.75,Unsold
Jhye Richardson,-,BOWL,1.50,TBA
Navdeep Saini,-,BOWL,0.75,Unsold
Tanmay Agarwal,-,BAT,0.30,TBA
Amandeep Khare,-,BAT,0.30,TBA
Ayush Mhatre,-,BAT,0.30,TBA
Salman Nizar,-,BAT,0.30,Unsold
Aniket Verma,SRH,BAT,0.30,0.30
Sumeet Verma,-,BAT,0.30,TBA
Manan Vohra,-,BAT,0.30,TBA
Samarth Vyas,-,BAT,0.30,TBA
Raj Bawa,MI,AR,0.30,0.30
Emanjot Singh Chahal,-,AR,0.30,Unsold
Musheer Khan,PBKS,AR,0.30,0.30
Manvanth Kumar,DC,AR,0.30,0.30
Mayank Rawat,-,AR,0.30,TBA
Suryansh Shedge,PBKS,AR,0.30,0.30
Hrithik Shokeen,-,AR,0.30,TBA
Sonu Yadav,-,AR,0.30,TBA
Rithik Easwaran,-,BAT,0.30,TBA
Anmol Malhotra,-,BAT,0.30,TBA
Pradosh Ranjan Paul,-,BAT,0.30,TBA
Karteek Sharma,-,BAT,0.30,TBA
Akash Singh,-,BAT,0.30,TBA
Tejasvi Singh,-,BAT,0.30,TBA
Siddarth Yadav,-,BAT,0.30,TBA
Saurabh Dubey,-,BOWL,0.30,TBA
Aaqib Khan,-,BOWL,0.30,TBA
Kulwant Khejroliya,GT,BOWL,0.30,0.30
Ankit Rajpoot,-,BOWL,0.30,TBA
Divesh Sharma,-,BOWL,0.30,Unsold
Naman Tiwari,-,BOWL,0.30,Unsold
Prince Yadav,LSG,BOWL,0.30,0.30
Kunal Singh Chibb,-,BOWL,0.30,TBA
Yuvraj Chudasama,-,BOWL,0.30,TBA
Deepak Devadiga,-,BOWL,0.30,TBA
Ramesh Prasad,-,BOWL,0.30,TBA
Shivam Shukla,-,BOWL,0.30,TBA
Himanshu Singh,-,BOWL,0.30,TBA
Tejpreet Singh,-,BOWL,0.30,TBA
Qais Ahmad,-,AR,0.75,TBA
Charith Asalanka,-,AR,0.75,TBA
Michael Bracewell,-,AR,1.50,Unsold
Gudakesh Motie,-,AR,0.75,TBA
Dan Mousley,-,AR,0.75,TBA
Jamie Overton,CSK,AR,1.50,1.50
Dunith Wellalage,-,AR,0.75,TBA
Ottneil Baartman,-,BOWL,0.75,Unsold
Xavier Bartlett,PBKS,BOWL,0.75,0.80
Dilshan Madushanka,-,BOWL,0.75,Unsold
Adam Milne,-,BOWL,2.00,Unsold
Lungi Ngidi,RCB,BOWL,1.00,1.00
William O’Rourke,-,BOWL,1.50,Unsold
Chetan Sakariya,-,BOWL,0.75,Unsold
Sandeep Warrier,-,BOWL,0.75,Unsold
Musaif Ajaz,-,BAT,0.30,TBA
Agni Chopra,-,BAT,0.30,TBA
Abhimanyu Easwaran,-,BAT,0.30,TBA
Sudip Kumar Gharami,-,BAT,0.30,TBA
Shubham Khajuria,-,BAT,0.30,TBA
Akhil Rawat,-,BAT,0.30,TBA
Prateek Yadav,-,BAT,0.30,TBA
Abdul Basith,-,AR,0.30,Unsold
KC Cariappa,-,AR,0.30,TBA
Yuvraj Chaudhary,LSG,AR,0.30,Unsold
Aman Khan,-,AR,0.30,TBA
Sumit Kumar,-,AR,0.30,TBA
Kamlesh Nagarkoti,CSK,AR,0.30,0.30
Hardik Raj,-,AR,0.30,TBA
Harsh Tyagi,-,AR,0.30,TBA
M Ajnas,-,BAT,0.30,TBA
Unmukt Chand,-,BAT,0.30,TBA
Tejasvi Dahiya,-,BAT,0.30,Unsold
Sumit Ghadigaonkar,-,BAT,0.30,TBA
Baba Indrajith,-,BAT,0.30,TBA
Muhammed Adnan Khan,-,BAT,0.30,TBA
Bhagmender Lather,-,BAT,0.30,TBA
Baltej Singh,-,BOWL,0.30,TBA
Ali Khan,-,BOWL,0.30,TBA
Ravi Kumar,-,BOWL,0.30,TBA
Vineet Panwar,-,BOWL,0.30,TBA
Vidyadhar Patil,-,BOWL,0.30,TBA
Aaradhya Shukla,-,BOWL,0.30,TBA
Abhinandan Singh,RCB,BOWL,0.30,0.30
Cooper Connolly,-,AR,0.75,TBA
Dushan Hemantha,-,AR,0.75,TBA
Jason Holder,-,AR,2.00,TBA
Karim Janat,GT,AR,0.75,0.75
James Neesham,-,AR,1.50,TBA
Daniel Sams,-,AR,1.50,TBA
Will Sutherland,-,AR,0.75,TBA
Taskin Ahmed,-,BOWL,1.00,TBA
Ben Dwarshuis,-,BOWL,0.75,TBA
Obed McCoy,-,BOWL,1.25,TBA
Riley Meredith,-,BOWL,1.50,TBA
Lance Morris,-,BOWL,1.25,Unsold
Olly Stone,-,BOWL,0.75,Unsold
Daniel Worrall,-,BOWL,1.50,TBA
Pyla Avinash,PBKS,BAT,0.30,0.30
Kiran Chormale,-,BAT,0.30,TBA
Ashish Dahariya,-,BAT,0.30,TBA
Tushar Raheja,-,BAT,0.30,TBA
Sarthak Ranjan,-,BAT,0.30,TBA
Abhijeet Tomar,-,BAT,0.30,TBA
Krish Bhagat,-,AR,0.30,TBA
Sohraab Dhaliwal,-,AR,0.30,TBA
Harsh Dubey,-,AR,0.30,TBA
Ramakrishna Ghosh,CSK,AR,0.30,0.30
Raj Limbani,-,AR,0.30,Unsold
Ninad Rathva,-,AR,0.30,TBA
Vivrant Sharma,-,AR,0.30,TBA
Shiva Singh,-,AR,0.30,Unsold
Sayed Irfan Aftab,-,BOWL,0.30,TBA
Anirudh Chowdhary,-,BOWL,0.30,Unsold
Siddarth Kaul,-,BOWL,0.40,TBA
Prashant Painkra,-,BOWL,0.30,TBA
Satyanarayana Raju,MI,BOWL,0.30,0.30
Yeddala Reddy,-,BOWL,0.30,TBA
Zakary Foulkes,-,AR,0.75,TBA
Chris Green,-,AR,1.00,TBA
Shakib Al Hasan,-,AR,1.00,TBA
Mehidy Hasan Miraz,-,AR,1.00,TBA
Wiaan Mulder,-,AR,0.75,TBA
Dwaine Pretorius,-,AR,0.75,Unsold
Dasun Shanaka,-,AR,0.75,TBA
Shoriful Islam,-,BOWL,0.75,TBA
Blessing Muzarabani,-,BOWL,0.75,Unsold
Matthew Potts,-,BOWL,1.50,TBA
Tanzim Hasan Sakib,-,BOWL,0.75,TBA
Ben Sears,-,BOWL,1.00,TBA
Tim Southee,-,BOWL,1.50,TBA
John Turner,-,BOWL,1.50,TBA
Joshua Brown,-,BAT,0.30,TBA
Oliver Davies,-,BAT,0.30,TBA
Bevon Jacobs,MI,BAT,0.30,0.30
Atharva Kale,-,BAT,0.30,TBA
Abhishek Nair,-,BAT,0.30,TBA
Vishwanath Singh,-,BAT,0.30,TBA
Lone Nasir,-,AR,0.30,TBA
Brandon McMullen,-,AR,0.30,Unsold
Sudhesan Midhun,-,AR,0.30,TBA
Abid Mushtaq,-,AR,0.30,TBA
Mahesh Pithiya,-,AR,0.30,TBA
Maramreddy Reddy,-,AR,0.30,TBA
Atit Sheth,-,AR,0.30,Unsold
Jonty Sidhu,-,AR,0.30,TBA
Mohit Avasthi,-,BOWL,0.30,TBA
Faridoon Dawoodzai,-,BOWL,0.30,TBA
Praful Hinge,-,BOWL,0.30,TBA
Pankaj Jaswal,-,BOWL,0.30,TBA
Vijay Kumar,-,BOWL,0.30,Unsold
Ashok Sharma,RR,BOWL,0.30,0.30
Mujtaba Yousuf,-,BOWL,0.30,TBA
Ashton Agar,-,AR,1.25,TBA
Roston Chase,-,AR,0.75,Unsold
Junior Dala,-,AR,0.75,TBA
Mahedi Hasan,-,AR,0.75,TBA
Nangeyalia Kharote,-,AR,0.75,TBA
Dan Lawrence,-,AR,1.00,TBA
Nathan Smith,-,AR,1.00,Unsold
James Anderson,-,BOWL,1.25,TBA
Kyle Jamieson,-,BOWL,1.50,Unsold
Chris Jordan,-,BOWL,2.00,Unsold
Hasan Mahmud,-,BOWL,0.75,TBA
Tymal Mills,-,BOWL,2.00,TBA
David Payne,-,BOWL,1.00,TBA
Nahid Rana,-,BOWL,0.75,TBA
Prayas Ray Barman,-,BAT,0.30,TBA
Jafar Jamal,-,BAT,0.30,TBA
Ayaz Khan,-,BAT,0.30,TBA
Kaushik Maity,-,BAT,0.30,TBA
Rituraj Sharma,-,BAT,0.30,TBA
Vaibhav Suryavanshi,RR,BAT,0.30,1.10
Kartik Chadha,-,AR,0.30,TBA
Writtick Chatterjee,-,AR,0.30,TBA
Prerit Dutta,-,AR,0.30,TBA
Rajneesh Gurbani,-,AR,0.30,TBA
Shubhang Hegde,-,AR,0.30,TBA
Saransh Jain,-,AR,0.30,TBA
Ripal Patel,-,AR,0.30,Unsold
Akash Vasisht,-,AR,0.30,TBA
Anirudh Kanwar,-,BOWL,0.30,TBA
Shubham Kapse,-,BOWL,0.30,TBA
Atif Mushtaq,-,BOWL,0.30,TBA
Dipesh Parwani,-,BOWL,0.30,TBA
Manish Reddy,-,BOWL,0.30,TBA
Chetan Sharma,-,BOWL,0.30,TBA
Avinash Singh,-,BOWL,0.30,Unsold
Alick Athanaze,-,AR,0.75,TBA
Hilton Cartwright,-,AR,0.75,TBA
Dominic Drakes,-,AR,1.25,TBA
Daryn Dupavillon,-,BOWL,0.75,TBA
Matthew Forde,-,AR,1.25,TBA
Patrick Kruger,-,AR,0.75,TBA
Lahiru Kumara,-,BOWL,0.75,TBA
Michael Neser,-,AR,0.75,TBA
Richard Ngarava,-,BOWL,0.75,TBA
Wayne Parnell,-,BOWL,1.00,TBA
Keemo Paul,-,AR,1.25,TBA
Odean Smith,-,AR,0.75,TBA
Andrew Tye,-,BOWL,0.75,TBA
Ajay Ahlawat,-,AR,0.40,TBA
Corbin Bosch,-,AR,0.30,TBA
Mayank Gusain,-,AR,0.30,TBA
Mukhtar Hussain,-,AR,0.30,TBA
Girinath Reddy,-,AR,0.30,TBA
Jalaj Saxena,-,AR,0.40,TBA
Yajas Sharma,-,AR,0.30,TBA
Sanjay Yadav,-,AR,0.30,Unsold
Vishal Godara,-,BOWL,0.30,TBA
Eshan Malinga,SRH,BOWL,0.30,1.20
Samarth Nagaraj,-,BOWL,0.30,TBA
Abhishek Saini,-,BOWL,0.30,TBA
Dumindu Sewmina,-,BOWL,0.30,TBA
Pradyuman Singh,-,BOWL,0.30,TBA
